DATA;LPC_SECO
07/01/2012;90,75
14/01/2012;89,38
21/01/2012;88,38
28/01/2012;87,63
04/02/2012;87,13
11/02/2012;86,63
18/02/2012;87
25/02/2012;88
03/03/2012;94,13
10/03/2012;103,5
17/03/2012;106,5
24/03/2012;106,88
31/03/2012;108,25
07/04/2012;106,38
14/04/2012;105,13
21/04/2012;104,94
28/04/2012;104,13
05/05/2012;103,13
12/05/2012;100,88
19/05/2012;99,75
26/05/2012;102
02/06/2012;104,12
09/06/2012;101,45
16/06/2012;98,38
23/06/2012;94,85
30/06/2012;94,39
07/07/2012;92,48
14/07/2012;93,4
21/07/2012;94,11
28/07/2012;92,45
04/08/2012;93,27
11/08/2012;94,67
18/08/2012;94,71
25/08/2012;93,57
01/09/2012;94,64
08/09/2012;100,02
15/09/2012;102,15
22/09/2012;101,02
29/09/2012;102,7
06/10/2012;101,98
13/10/2012;102,32
20/10/2012;107,56
27/10/2012;107,44
03/11/2012;112,48
10/11/2012;112,24
17/11/2012;112,72
24/11/2012;111,02
01/12/2012;111,11
08/12/2012;111,15
15/12/2012;108,58
22/12/2012;109,31
29/12/2012;112,47
05/01/2013;115,09
12/01/2013;118,17
19/01/2013;113,98
26/01/2013;116,04
02/02/2013;115,17
09/02/2013;111,81
16/02/2013;111,34
23/02/2013;110,38
02/03/2013;115,03
09/03/2013;116,39
16/03/2013;118,36
23/03/2013;121,82
30/03/2013;122,81
06/04/2013;126,78
13/04/2013;124,91
20/04/2013;124,16
27/04/2013;123,93
04/05/2013;125,32
11/05/2013;128
18/05/2013;129,65
25/05/2013;128,44
01/06/2013;129,01
08/06/2013;129,18
15/06/2013;127,55
22/06/2013;126,83
29/06/2013;126,05
06/07/2013;124,82
13/07/2013;125,86
20/07/2013;125,58
27/07/2013;125,75
03/08/2013;126,26
10/08/2013;127,7
17/08/2013;128,24
24/08/2013;129,29
31/08/2013;128,91
07/09/2013;120,08
14/09/2013;118,88
21/09/2013;118,88
28/09/2013;118,99
05/10/2013;118,48
12/10/2013;118,89
19/10/2013;118,8
26/10/2013;119,02
02/11/2013;119,89
09/11/2013;120,27
16/11/2013;120,74
23/11/2013;122,22
30/11/2013;122,54
07/12/2013;122,54
14/12/2013;122,33
21/12/2013;122,48
28/12/2013;122,36
04/01/2014;122,21
11/01/2014;123,69
18/01/2014;126,19
25/01/2014;128,35
01/02/2014;132,46
08/02/2014;135,83
15/02/2014;137,15
22/02/2014;138,89
01/03/2014;141,29
08/03/2014;142,9
15/03/2014;145,08
22/03/2014;147,63
29/03/2014;150,86
05/04/2014;153,51
12/04/2014;160,19
19/04/2014;167,94
26/04/2014;174,63
03/05/2014;179,26
10/05/2014;181,95
17/05/2014;185,68
24/05/2014;192,29
31/05/2014;194,56
07/06/2014;196,04
14/06/2014;195,13
21/06/2014;201,57
28/06/2014;202,97
05/07/2014;205,68
12/07/2014;207,43
19/07/2014;210,92
26/07/2014;212,89
02/08/2014;216,43
09/08/2014;220,97
16/08/2014;223,57
23/08/2014;226,03
30/08/2014;229,25
06/09/2014;165,93
13/09/2014;167,65
20/09/2014;170,91
27/09/2014;170,43
04/10/2014;172,25
11/10/2014;173,72
18/10/2014;175,26
25/10/2014;176,57
01/11/2014;178,21
08/11/2014;178,98
15/11/2014;180,35
22/11/2014;181,16
29/11/2014;181,74
06/12/2014;182,45
13/12/2014;183,78
20/12/2014;183,57
27/12/2014;183,47
03/01/2015;183,3
10/01/2015;184,51
17/01/2015;186,58
24/01/2015;187,46
31/01/2015;188,77
07/02/2015;191,17
14/02/2015;196,54
21/02/2015;201,24
28/02/2015;205,92
07/03/2015;210,21
14/03/2015;213,52
21/03/2015;215,04
28/03/2015;214,92
04/04/2015;214,59
11/04/2015;213,19
18/04/2015;210,84
25/04/2015;209,26
02/05/2015;205,71
09/05/2015;203,83
16/05/2015;204,22
23/05/2015;205,22
30/05/2015;205,71
06/06/2015;204,85
13/06/2015;204,82
20/06/2015;202,68
27/06/2015;201,63
04/07/2015;200,21
11/07/2015;192,86
18/07/2015;183,48
25/07/2015;172,38
01/08/2015;171,47
08/08/2015;170,17
15/08/2015;171,15
22/08/2015;171,13
29/08/2015;170,73
05/09/2015;172,57
12/09/2015;162,28
19/09/2015;161,32
26/09/2015;161,41
03/10/2015;160,42
10/10/2015;159,95
17/10/2015;159,26
24/10/2015;158,48
31/10/2015;158,34
07/11/2015;158,1
14/11/2015;157,61
21/11/2015;157,25
28/11/2015;155,51
05/12/2015;152,35
12/12/2015;148,7
19/12/2015;146,17
26/12/2015;146,24
02/01/2016;142,36
09/01/2016;138,2
16/01/2016;134,61
23/01/2016;130,12
30/01/2016;128,07
06/02/2016;122,95
13/02/2016;121,07
20/02/2016;120,74
27/02/2016;121,76
05/03/2016;121,38
12/03/2016;121,92
19/03/2016;121,93
26/03/2016;121,18
02/04/2016;120,91
09/04/2016;121,15
16/04/2016;121,43
23/04/2016;122,45
30/04/2016;123,19
07/05/2016;125,07
14/05/2016;126,35
21/05/2016;128,66
28/05/2016;130,02
04/06/2016;131,61
11/06/2016;131,19
18/06/2016;131,43
25/06/2016;131,32
02/07/2016;131,83
09/07/2016;134,04
16/07/2016;138,49
23/07/2016;143,45
30/07/2016;148,63
06/08/2016;150,9
13/08/2016;154,15
20/08/2016;158,22
27/08/2016;159,7
03/09/2016;158,37
10/09/2016;155,16
17/09/2016;155,11
24/09/2016;154,07
01/10/2016;152,73
08/10/2016;152,98
15/10/2016;152,76
22/10/2016;153,66
29/10/2016;152,82
05/11/2016;152,87
12/11/2016;154
19/11/2016;153,95
26/11/2016;153,26
03/12/2016;152,7
10/12/2016;150,93
17/12/2016;145,07
24/12/2016;143,58
31/12/2016;142,05
07/01/2017;142,03
14/01/2017;142,69
21/01/2017;143,22
28/01/2017;143,71
04/02/2017;144,64
11/02/2017;145,98
18/02/2017;149,64
25/02/2017;152,74
04/03/2017;156,81
11/03/2017;158,91
18/03/2017;163,7
25/03/2017;163,89
01/04/2017;165,82
08/04/2017;169,87
15/04/2017;172,24
22/04/2017;173,17
29/04/2017;173,6
06/05/2017;175,44
13/05/2017;175,68
20/05/2017;176
27/05/2017;175,39
03/06/2017;172,82
10/06/2017;171,2
17/06/2017;171,84
24/06/2017;172,27
01/07/2017;172,44
08/07/2017;172,16
15/07/2017;170,4
22/07/2017;169,31
29/07/2017;169,48
05/08/2017;168,21
12/08/2017;168,08
19/08/2017;167,73
26/08/2017;167,66
02/09/2017;167,78
09/09/2017;156,92
16/09/2017;157,78
23/09/2017;158,69
30/09/2017;158,54
07/10/2017;159,48
14/10/2017;159,91
21/10/2017;161,41
28/10/2017;160,67
04/11/2017;160,35
11/11/2017;160,03
18/11/2017;159,76
25/11/2017;158,67
02/12/2017;157,65
09/12/2017;157,67
16/12/2017;158,56
23/12/2017;158,41
30/12/2017;158,85
06/01/2018;158,42
13/01/2018;158,14
