DATA;LPC_SECO
2024-01-06;121,66
2024-01-13;126,9
2024-01-20;136,4
2024-01-27;134,49
2024-02-03;147,59
2024-02-10;158,92
2024-02-17;154,93
2024-02-24;159,47
2024-03-02;149,32
2024-03-09;152,17
2024-03-16;155,73
2024-03-23;150,98
2024-03-30;150,34
2024-04-06;144,38
2024-04-13;131,43
2024-04-20;134,27
2024-04-27;132,13
2024-05-04;132,14
2024-05-11;135,83
2024-05-18;139,19
2024-05-25;140,42
2024-06-02;145,93
2024-06-09;147,88
2024-06-16;144,05
2024-06-23;148,73
2024-06-30;152,41
2024-07-07;154,15
2024-07-14;151,19
2024-07-21;152,62
2024-07-28;146,95
2024-08-04;148,41
2024-08-11;152,85
2024-08-18;153,37
2024-08-25;154,9
2024-09-01;163,71
2024-09-08;153,65
2024-09-15;153,1
2024-09-22;151,77
2024-09-29;154,33
2024-10-06;153,58
2024-10-13;150,38
2024-10-20;149,35
2024-10-27;148,11
2024-11-03;142,29
2024-11-10;144,12
2024-11-17;141,55
2024-11-24;144,01
2024-12-01;144,23
2024-12-08;145,79
2024-12-15;146,47
2024-12-22;145,27
