;forecast;upper_error_5;lower_error_5;real
2023-12-31;126,42366291825279;132,74484606416544;120,10247977234015;120,78
2024-01-07;129,26276509857382;135,72590335350253;122,79962684364513;121,66
2024-01-14;132,35110720260843;138,96866256273887;125,73355184247801;126,9
2024-01-21;134,25051753949134;140,96304341646592;127,53799166251677;136,4
2024-01-28;141,02879430777597;148,08023402316476;133,97735459238717;134,49
2024-02-04;147,24060594678608;154,6026362441254;139,87857564944676;147,59
2024-02-11;146,54057238814153;153,86760100754861;139,21354376873444;158,92
2024-02-18;151,87741931896622;159,47129028491455;144,2835483530179;154,93
2024-02-25;151,41005396705035;158,98055666540287;143,83955126869782;159,47
2024-03-03;162,0825140710303;170,1866397745818;153,97838836747877;149,32
2024-03-10;162,29240579231475;170,4070260819305;154,177785502699;152,17
2024-03-17;165,08271321210327;173,33684887270843;156,8285775514981;155,73
2024-03-24;167,69994542198802;176,08494269308744;159,3149481508886;150,98
2024-03-31;141,95184749619244;149,04943987100208;134,8542551213828;150,34
2024-04-07;126,63722635945139;132,96908767742397;120,30536504147881;144,38
2024-04-14;124,24469763440804;130,45693251612846;118,03246275268764;131,43
2024-04-21;125,12047273550712;131,37649637228247;118,86444909873175;134,27
2024-04-28;132,5572546840626;139,18511741826575;125,92939194985946;132,13
2024-05-05;129,90714395814058;136,4025011560476;123,41178676023354;132,14
2024-05-12;135,27838562633792;142,04230490765482;128,51446634502102;135,83
2024-05-19;132,54363247102998;139,1708140945815;125,91645084747847;139,19
2024-05-26;134,9025455535123;141,64767283118795;128,15741827583668;140,42
2024-06-02;144,37301865458375;151,59166958731294;137,15436772185456;145,93
2024-06-09;145,40948193705094;152,6799560339035;138,1390078401984;147,88
2024-06-16;150,73125486647007;158,26781760979358;143,19469212314655;144,05
2024-06-23;141,0028789719818;148,0530229205809;133,9527350233827;148,73
2024-06-30;153,41059089988252;161,08112044487666;145,74006135488838;152,41
2024-07-07;155,05340723452986;162,80607759625636;147,30073687280336;154,15
2024-07-14;154,94367246904238;162,6908560924945;147,19648884559027;151,19
2024-07-21;145,27015289279564;152,53366053743542;138,00664524815585;152,62
2024-07-28;153,4362714379177;161,10808500981358;145,76445786602181;146,95
2024-08-04;158,7360372680909;166,67283913149546;150,79923540468636;148,41
2024-08-11;156,8878562323504;164,73224904396793;149,04346342073288;152,85
2024-08-18;155,24766252478088;163,01004565101994;147,48527939854182;153,37
2024-08-25;159,58878139428168;167,56822046399577;151,6093423245676;154,9
2024-09-01;152,94530723631547;160,59257259813126;145,2980418744997;163,71
2024-09-08;153,6077765203299;161,2881653463464;145,9273876943134;153,65
2024-09-15;150,70126859703467;158,2363320268864;143,16620516718294;153,1
2024-09-22;152,17770741759375;159,78659278847346;144,56882204671405;151,77
2024-09-29;154,33551614533468;162,05229195260142;146,61874033806794;154,33
2024-10-06;154,95685259469448;162,7046952244292;147,20900996495976;153,58
2024-10-13;151,75751052872693;159,3453860551633;144,16963500229056;150,38
2024-10-20;151,56973744785296;159,14822432024562;143,9912505754603;149,35
2024-10-27;151,3250625991063;158,89131572906163;143,75880946915098;148,11
2024-11-03;152,87157299502775;160,51515164477914;145,22799434527636;142,29
2024-11-10;153,07806075045062;160,73196378797314;145,4241577129281;144,12
2024-11-17;154,44842075502507;162,17084179277632;146,72599971727382;141,55
2024-11-24;154,77263709609988;162,51126895090488;147,0340052412949;144,01
2024-12-01;155,02141224440246;162,7724828566226;147,27034163218232;144,23
2024-12-08;155,4470672349049;163,21942059665014;147,67471387315965;145,79
2024-12-15;153,55826970152017;161,23618318659618;145,88035621644417;146,47
2024-12-22;153,53508206300268;161,2118361661528;145,85832795985255;145,27
